Authors,Author full names,Author(s) ID,Title,Year,Source title,Cited by,DOI,Affiliations,Author Keywords,Index Keywords,Publisher,Language of Original Document,Document Type,Open Access,ISSN,EID
Medeiros F.K.; Anjos M.A.S.; Maia J.V.R.; Dias L.S.; Lucas S.S.,"Medeiros, Fernanda K. (60029732200); Anjos, Marcos A.S. (51565394700); Maia, José V.R. (59941620000); Dias, Leonardo S. (60029732300); Lucas, Sandra S. (55605779123)",60029732200; 51565394700; 59941620000; 60029732300; 55605779123,Effect of sisal fibers on the behavior of 3D-printed cementitious mixtures exposed to high temperatures,2025,Construction and Building Materials,3,10.1016/j.conbuildmat.2025.143037,"Federal University of Paraíba/UFPB, Post-graduation in Materials Science and Engineering/PPCEM-UFPB, João Pessoa, 58051-900, Brazil; Federal Institute of Education, Science and Technology of Paraíba, Civil Engineering Coordination/IFPB, Post-graduation in Civil and Environmental Engineering/PPGECAM-UFPB and PPCEM/UFPB, João Pessoa, 58015-435, Brazil; Federal University of Paraíba/UFPB, Post-graduation in Civil and Environmental Engineering/PPGECAM-UFPB, João Pessoa, 58051-900, Brazil; Department of the Built Environment, Eindhoven University of Technology, De Zaale, Eindhoven, 5612 AZ, Netherlands",3DCP; Adhesion between layers; Concrete printing; Extrudability; Mortar; Sisal fiber; Supplementary cementitious materials,Adhesion; Composite films; Compressive strength; Concrete mixtures; Failure (mechanical); Fiber bonding; Fibers; Printing presses; Reinforcement; 3DCP; Adhesion between layer; Cementitious composites; Concrete printings; Elevated temperature; Exposed to; Extrudability; Highest temperature; Sisal fibers; Supplementary cementitious material; Lime,Elsevier Ltd,English,Article,All Open Access; Green Open Access,09500618,2-s2.0-105012589945
Torres J.L.; de Brito G.E.G.; Machado E.L.; Ygnatios N.T.M.; Lima-Costa M.F.; da Silva S.L.A.; Mambrini J.V.D.M.,"Torres, Juliana Lustosa (37062081800); de Brito, Geraldo Eduardo Guedes (56850346200); Machado, Elaine Leandro (37026580000); Ygnatios, Nair Tavares Milhem (57224353502); Lima-Costa, Maria Fernanda (7003633117); da Silva, Silvia Lanziotti Azevedo (55212184000); Mambrini, Juliana Vaz de Melo (60018957800)",37062081800; 56850346200; 37026580000; 57224353502; 7003633117; 55212184000; 60018957800,Distinctness of all-cause mortality attributable to physical frailty among Brazilian men and women: 5-year follow-up of the ELSI-Brazil study,2025,Archives of Gerontology and Geriatrics,0,10.1016/j.archger.2025.105972,"Departamento de Medicina Preventiva e Social, Universidade Federal de Minas, Gerais, Minas Gerais, Belo Horizonte, Brazil; Programa de Pós-Graduação em Saúde Pública, Universidade Federal de Minas, Gerais, Minas Gerais, Belo Horizonte, Brazil; Departamento de Fisioterapia, Universidade Federal da Paraíba, João Pessoa, Brazil; Núcleo de Estudos em Saúde Pública e Envelhecimento, Universidade Federal de, Minas Gerais e Fundação Oswaldo Cruz, Minas Gerais, Belo Horizonte, Brazil; Departamento de Saúde Coletiva, Universidade Federal de Juiz de Fora, Juiz de Fora, Brazil; Fundação Oswaldo Cruz, Minas Gerais, Belo Horizonte, Brazil",Frailty; Gender and health; Gender Equity; Mortality,"Aged; Aged, 80 and over; Brazil; Cause of Death; Female; Follow-Up Studies; Frail Elderly; Frailty; Humans; Longitudinal Studies; Male; Middle Aged; Mortality; Proportional Hazards Models; Risk Factors; Sex Factors; aging; all cause mortality; Article; body mass; body weight loss; Brazilian; cognition; cohort analysis; data mining; diabetes mellitus; female; frailty; heart disease; human; hypertension; longitudinal study; major clinical study; male; mortality; mortality risk; physical activity; risk factor; sex difference; smoking; training; very elderly; weakness; aged; Brazil; cause of death; epidemiology; follow up; frail elderly; middle aged; proportional hazards model; sex factor",Elsevier Ireland Ltd,English,Article,,01674943,2-s2.0-105011969223
Feitosa M.L.P.A.M.; Ventura V.; Rosário J.O.R.,"Feitosa, Maria Luiza Pereira de Alencar Mayer (57204182250); Ventura, Victor (57694888700); Rosário, José Orlando Ribeiro (59666073200)",57204182250; 57694888700; 59666073200,The relationship between the economic policy of petroleum and the crises affecting the brazilian state and democracy; [Relação entre a política econômica do petróleo e as crises que afetam o Estado e a democracia brasileira],2025,"Direito, Estado e Sociedade",0,10.17808/des.1841,"Universidade Federal da Paraíba, PB, João Pessoa, Brazil; Universidade de Hamburgo, Germany; Universidade Federal do Rio Grande do Norte, RN, Natal, Brazil",crisis at Petrobras; democratic setbacks; economic policy of petroleum; rentier capitalism,,Pontificia Universidade Catolica do Rio de Janeiro,Portuguese,Article,All Open Access; Gold Open Access,15166104,2-s2.0-105021133851
dos Anjos Lima L.A.; Maia M.I.L.; Afo D.I.B.; Maia A.F.; Givisiez P.E.N.; Guerra R.R.; Braz C.U.; Saraiva E.P.,"dos Anjos Lima, Luiz A. (57215661117); Maia, Maria Isabelly L. (57221124522); Afo, Delfino I.B. (60028250200); Maia, Amana F. (59234380800); Givisiez, Patrícia E.N. (7801588518); Guerra, Ricardo R. (13605514400); Braz, Camila U. (55348672300); Saraiva, Edilson P. (55944217100)",57215661117; 57221124522; 60028250200; 59234380800; 7801588518; 13605514400; 55348672300; 55944217100,Effects of exogenous phytase supplementation on the modulation of hormonal responses in Japanese quails (Coturnix japonica) at high environmental temperatures during the production phase,2025,Poultry Science,4,10.1016/j.psj.2025.105590,"Research Group in Bioclimatology, Ethology and Animal Welfare (BioEt), Department of Animal Science, Federal University of Paraíba, Areia 58397-000, Paraíba, Brazil; Center for Animal and Veterinary Science, University of Trás-os-Montes and Alto Douro (UTAD), Vila Real, 5000-801, Portugal; Department of Animal Sciences, Federal University of Paraiba, CCA, Areia 58397-000, Paraiba, Brazil; Department of Veterinary Sciences, Federal University of Paraiba, CCA, Areia 58397-000, Paraiba, Brazil; Department of Animal Sciences, University of Illinois at Urbana-Champaign, Urbana, 61801, IL, United States",Corticosterone; Dietary supplementation; Heat stress; Thyroid hormones,"6-Phytase; Animal Feed; Animals; Corticosterone; Coturnix; Diet; Dietary Supplements; Dose-Response Relationship, Drug; Female; Hot Temperature; Random Allocation; Thyroxine; Triiodothyronine; alpha tocopherol; biotin; calcium; colecalciferol; copper; corticosterone; cyanocobalamin; folic acid; glucose; liothyronine; nicotinic acid; pantothenic acid; phytase; pyridoxine; retinol; riboflavin; selenium; thiamine; thyroid hormone; thyroxine; vitamin K group; corticosterone; liothyronine; phytase; thyroxine; animal experiment; Article; broiler; controlled study; Coturnix japonica; diet supplementation; diet therapy; environment; Escherichia coli; exogenous phytase supplementation; food intake; heat stress; high temperature; hormonal response; modulation; nonhuman; quail; severe heat stress environment; temperature; temperature stress; Thricoderma reesei; adverse event; animal; animal food; blood; Coturnix; diet; dietary supplement; dose response; female; high temperature; metabolism; physiology; randomization; veterinary medicine",Elsevier Inc.,English,Article,All Open Access; Gold Open Access; Green Open Access,00325791,2-s2.0-105012518856
de Santana I.H.G.; Viana M.R.M.; Smith M.I.E.; de Almeida E.J.R.; Felix K.D.; Ferreira R.M.A.; Horikawa F.K.; Ribeiro E.D.; Pereira L.C.; Shinohara É.H.,"de Santana, Ilan Hudson Gomes (58974092500); Viana, Mayara Rebeca Martins (58973727500); Smith, Maria Isabel Estrela (59781180200); de Almeida, Edmundo Junio Rodrigues (59781876500); Felix, Karolyne Dutra (59781418500); Ferreira, Rafaella Maria Alves (59781180300); Horikawa, Fernando Kendi (12779397500); Ribeiro, Eduardo Dias (58344916600); Pereira, Lucas Cavalieri (59781643100); Shinohara, Élio Hitoshi (8401794500)",58974092500; 58973727500; 59781180200; 59781876500; 59781418500; 59781180300; 12779397500; 58344916600; 59781643100; 8401794500,Bioadhesives in Oral and Maxillofacial Surgery: A Systematic Review of Recent Developments and Potential Clinical Applications,2025,Current Oral Health Reports,0,10.1007/s40496-025-00405-7,"Health Sciences Center, Federal University of Paraíba (UFPB), Paraíba, João Pessoa, Brazil; Osasco Regional Hospital, Sao Paulo, Osasco, Brazil; Sao Leopoldo Mandic College (SLMANDIC), São Paulo, Brazil",Bioadhesives; Dentistry; Maxillofacial surgery; Oral surgery; Wound closure techniques,,Springer Science and Business Media B.V.,English,Review,,21963002,2-s2.0-105004447473
Conde R.A.; Silva Oliveira Filho A.R.; Machinski E.; Furtado da Cruz V.; Melinte M.A.; Varone B.B.; Pires de Camargo O.; Helito C.P.; Leal D.P.,"Conde, Rodrigo Arruda (59929669400); Silva Oliveira Filho, André Richard (59930114200); Machinski, Elcio (59129627900); Furtado da Cruz, Vinícius (59458798200); Melinte, Marian Andrei (59322715000); Varone, Bruno Butturi (55670503700); Pires de Camargo, Olavo (57190153684); Helito, Camilo Partezani (35788071100); Leal, Daniel Peixoto (58045745300)",59929669400; 59930114200; 59129627900; 59458798200; 59322715000; 55670503700; 57190153684; 35788071100; 58045745300,Can bioactive glass replace bone grafts after curettage of benign bone Tumors? A systematic review and meta-analysis of randomized controlled trials,2025,Journal of Orthopaedics,2,10.1016/j.jor.2025.05.061,"Fundación H.A. Barcelo, Instituto Universitario de Ciencias de La Salud, CABA, Buenos Aires, Argentina; Universidade Federal da Paraíba (UFPB), PB, João Pessoa, Brazil; Universidade Estadual de Ponta Grossa, PR, Ponta Grossa, Brazil; Pontifícia Universidade Católica Do Paraná, PR, Londrina, Brazil; George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures, Targu Mures, 540142, Romania; Instituto de Ortopedia, Hospital Das Clinicas HCFMUSP, Faculdade de Medicina, Universidade de Sao Paulo, SP, Sao Paulo, Brazil",Allograft; Autograft; Benign bone tumors; Bioactive glass; Curettage,glass; adverse event; aneurysmal bone cyst; bone allograft; bone autograft; bone graft; bone tumor; clinical effectiveness; Cochrane Library; comparative study; curettage; disease severity; Embase; enchondroma; follow up; human; Medline; meta analysis; postoperative complication; randomized controlled trial (topic); recurrence risk; reoperation; Review; standardization; systematic review; treatment outcome; tumor recurrence; validation study,Reed Elsevier India Pvt. Ltd.,English,Review,,0972978X,2-s2.0-105007336338
Lopes A.S.; de Assis Lopes M.S.; Henschel J.M.; Dias T.J.; de Andrade A.N.; da Silva A.J.; Targino V.A.; das Graças Souza A.; Smiderle O.J.; Campos M.C.C.; Batista D.S.,"Lopes, Adriano Salviano (57219049736); de Assis Lopes, Marquíria Souza (59995439000); Henschel, Juliane Maciel (57196245932); Dias, Thiago Jardelino (23984490700); de Andrade, Antônio Nunes (59354826500); da Silva, Adjair José (57265918300); Targino, Vitor Araújo (57402214900); das Graças Souza, Aline (55866280800); Smiderle, Oscar José (6506346565); Campos, Milton Cesar Costa (15841673600); Batista, Diego Silva (55966783800)",57219049736; 59995439000; 57196245932; 23984490700; 59354826500; 57265918300; 57402214900; 55866280800; 6506346565; 15841673600; 55966783800,Methyl jasmonate attenuates salinity in Capsicum chinense Jacq. and improves nutraceutical parameters of fruits,2025,Theoretical and Experimental Plant Physiology,0,10.1007/s40626-025-00379-y,"Programa de Pós-Graduação em Agronomia, Universidade Federal da Paraíba, PB, Areia, 58397-000, Brazil; Departamento de Agricultura, Universidade Federal da Paraíba, Campus Universitário III, s/n, PB, Bananeiras, 58220-000, Brazil; Departamento de Sementes, Empresa Brasileira de Pesquisa Agropecuária, RR, Boa Vista, 69301-970, Brazil; Departamento de Solos e Engenharia Rural, Universidade Federal da Paraíba, PB, Areia, 58397-000, Brazil",Floral abortion; Fruit production; Fruit quality; Saline water; Tolerance,,Springer Science and Business Media Deutschland GmbH,English,Article,,21970025,2-s2.0-105010633671
Filho A.A.A.,"Filho, A. A. Araújo (57214091046)",57214091046,Particle motion and thermal effects around a Kalb–Ramond black hole,2025,European Physical Journal C,11,10.1140/epjc/s10052-025-14752-3,"Departamento de Física, Universidade Federal da Paraíba, Caixa Postal 5008, Paraíba, João Pessoa, 58051-970, Brazil; Physics Department, Federal University of Campina Grande, Caixa Postal 10071, PB, Campina Grande, 58429-900, Brazil",,Black holes; Gravitation; Refractive index; Specific energy; Black holes; Dispersion relations; Dynamic behaviors; Mechanical analogy; Optical-; Particle dynamics; Particle motions; Thermal; Thermodynamic behaviors; Through the lens; Specific heat,Springer Nature,English,Article,All Open Access; Gold Open Access; Green Open Access,14346044,2-s2.0-105016591159
Lima C.M.M.; Marinho P.R.D.; Tomazella V.L.D.; Rodrigues A.S.,"Lima, Cleide Mayra M. (57222601810); Marinho, Pedro Rafael Diniz (57190248480); Tomazella, Vera Lucia D. (26532123600); Rodrigues, Agatha Sacramento (57193794686)",57222601810; 57190248480; 26532123600; 57193794686,Zero-adjusted defective Gompertz model with gamma frailty for survival data,2025,Brazilian Journal of Probability and Statistics,0,10.1214/26-BJPS654,"Department of Statistics, Federal University of Piauí, PI, Teresina, Brazil; Department of Statistics, Federal University of Paraíba, PB, João Pessoa, Brazil; Department of Statistics, Federal University of São Carlos, SP, São Carlos, Brazil; Department of Statistics, Federal University of Espírito Santo, ES, Vitória, Brazil; Hospital das Clínicas of the Faculty of Medicine of the University of São Paulo, SP, São Paulo, Brazil; Postgraduate Program in Decision Methods and Health—PGMDS, University of Paraíba, PB, João Pessoa, Brazil",cure fraction; defective distribution; frailty; gamma frailty; Gompertz distribution; Zero-adjusted model,,Brazilian Statistical Association,English,Article,,01030752,2-s2.0-105046537227
Burity L.M.D.,"Burity, Luiz Mário Dantas (57483506300)",57483506300,From “plastic excellencies” to “virtues of the race”: raciological theories in the literature of José Américo de Almeida in the 1920; [DAS “EXCELÊNCIAS PLÁSTICAS” ÀS “VIRTUDES DA RAÇA”: TEORIAS RACIOLÓGICAS NA LITERATURA DE jOSÉ aMÉRICO DE aLMEIDA DOS ANOS 1920]; [De “excelencias plásticas” a “virtudes de la raza”: teorías raciales en la literatura de José Américo de Almeida en los años 1920],2025,Estudos Historicos,0,10.1590/S2178-149420250614,"Universidade Federal da Paraíba – João Pessoa (PB), Brazil; Doutor em história pela Universidade Federal do Estado do Rio de Janeiro (Unirio), mestre e graduado em história pela Universidade Federal da Paraíba (UFPB), Professor do Departamento de História da Universidade Estadual da Paraíba – Campus III (UEPB), Professor do Programa de Pós-Graduação em História da UFPB, Pesquisador da Fundação Casa de José Américo",José Américo de Almeida; Scientific racialism; Social evolution,,Fundacao Getulio Vargas,English,Article,All Open Access; Gold Open Access,21781494,2-s2.0-105022832269
de Gois T.M.M.; Pernambuco L.A.; de Queiroga B.A.M.; Cordeiro A.A.A.,"de Gois, Thallyta Midiã Mota (60157790200); Pernambuco, Leandro de Araújo (60040356700); de Queiroga, Bianca Arruda Manchester (14043414300); Cordeiro, Ana Augusta de Andrade (57014710100)",60157790200; 60040356700; 14043414300; 57014710100,Risk identification for Autism Spectrum Disorder in preschool children: design and validation of a screening instrument; [Instrumento de rastreamento para Identificação de Transtorno do Espectro Autista na educação infantil (IRTEA.Educ): evidências de validade baseada no conteúdo],2025,Brazilian Journal of Occupational Therapy,0,10.1590/2526-8910.ctoAO398838751,"Universidade Federal de Pernambuco – UFPE, PE, Recife, Brazil; Universidade Federal da Paraíba – UFPB, PB, João Pessoa, Brazil",Autism Spectrum Disorder; Child; Preschool; Validation Study,,Universidade Federal de Sao Carlos,Portuguese,Article,All Open Access; Gold Open Access,25268910,2-s2.0-105019932903
